id,street,city,accident_datetime_x,street_latitude,street_longitude,latitude,longitude,accident_datetime_y,future_dt_used,duration_sec,static_duration_sec,traffic_ratio,traffic_level
release_57,coast road,naxxar,2025-08-17 16:00:00,35.9462438,14.4481762,35.9462438,14.4481762,2025-08-17 16:00:00,2026-01-04 16:00:00+01:00,233.0,219.0,1.0639269406392695,LOW
article_489339.0,triq aldo moro,marsa,2025-08-14 15:30:00,35.8772393,14.4948062,35.8772393,14.4948062,2025-08-14 15:30:00,2026-01-08 15:30:00+01:00,227.0,207.0,1.0966183574879227,LOW
article_490653.0,triq sant andrija,pembroke,2025-08-14 09:00:00,35.9234324,14.4824207,35.9234324,14.4824207,2025-08-14 09:00:00,2026-01-08 09:00:00+01:00,330.0,324.0,1.0185185185185186,LOW
article_490568.0,triq sant andrija,pembroke,2025-08-14 05:30:00,35.9234324,14.4824207,35.9234324,14.4824207,2025-08-14 05:30:00,2026-01-08 05:30:00+01:00,260.0,324.0,0.8024691358024691,LOW
article_490165.0,st luke's square,guardamangia,2025-08-12 07:00:00,35.88492,14.48063,35.88492,14.48063,2025-08-12 07:00:00,2026-01-06 07:00:00+01:00,219.0,191.0,1.1465968586387434,LOW
release_53,mosta road,mgarr,2025-08-11 19:00:00,35.9046481,14.4443042,35.9046481,14.4443042,2025-08-11 19:00:00,2026-01-05 19:00:00+01:00,210.0,192.0,1.09375,LOW
article_489993.0,mosta road,mgarr,2025-08-10 19:00:00,35.9046481,14.4443042,35.9046481,14.4443042,2025-08-10 19:00:00,2026-01-04 19:00:00+01:00,197.0,192.0,1.0260416666666667,LOW
article_489884.0,triq nazzjonali,floriana,2025-08-10 09:00:00,35.9034355,14.4867323,35.9034355,14.4867323,2025-08-10 09:00:00,2026-01-04 09:00:00+01:00,101.0,116.0,0.8706896551724138,LOW
article_489878.0,triq salvu psaila,birkirkara,2025-08-10 05:20:00,35.8946852,14.4696987,35.8946852,14.4696987,2025-08-10 05:20:00,2026-01-04 05:20:00+01:00,250.0,276.0,0.9057971014492754,LOW
article_490073.0,psaila street,sta venera,2025-08-10 05:20:00,35.8946852,14.4696987,35.8946852,14.4696987,2025-08-10 05:20:00,2026-01-04 05:20:00+01:00,250.0,276.0,0.9057971014492754,LOW
article_490010.0,triq il-pellikan,san gwann,2025-08-09 07:30:00,35.91172,14.47628,35.91172,14.47628,2025-08-09 07:30:00,2026-01-10 07:30:00+01:00,142.0,134.0,1.0597014925373134,LOW
article_467110.0,triq dawret hal ghaxaq,hal ghaxaq,2025-08-08 15:30:00,35.848783,14.5251465,35.848783,14.5251465,2025-08-08 15:30:00,2026-01-09 15:30:00+01:00,187.0,154.0,1.2142857142857142,MODERATE
release_550,cospicua road,zabbar,2025-08-07 12:30:00,35.8739795,14.5085618,35.8739795,14.5085618,2025-08-07 12:30:00,2026-01-08 12:30:00+01:00,170.0,148.0,1.1486486486486487,LOW
release_55,salina street,naxxar,2025-08-07 11:30:00,35.9369975,14.4339269,35.9369975,14.4339269,2025-08-07 11:30:00,2026-01-08 11:30:00+01:00,134.0,134.0,1.0,LOW
article_489733.0,cannon road,santa venera,2025-08-07 08:00:00,35.8875617,14.4745003,35.8875617,14.4745003,2025-08-07 08:00:00,2026-01-08 08:00:00+01:00,416.0,200.0,2.08,HEAVY
article_489990.0,canon road,santa venera,2025-08-07 00:00:00,35.8875617,14.4745003,35.8875617,14.4745003,2025-08-07 00:00:00,2026-01-08 00:00:00+01:00,166.0,200.0,0.83,LOW
article_467164.0,floriana park and ride,floriana,2025-08-06 15:30:00,35.88811,14.50119,35.88811,14.50119,2025-08-06 15:30:00,2026-01-07 15:30:00+01:00,277.0,201.0,1.3781094527363185,MODERATE
article_489728.5,triq bormla,naxxar,2025-08-06 12:30:00,35.87241,14.53628,35.87241,14.53628,2025-08-06 12:30:00,2026-01-07 12:30:00+01:00,203.0,219.0,0.9269406392694064,LOW
article_489728.0,triq is-salin,naxxar,2025-08-06 11:30:00,35.9369975,14.4339269,35.9369975,14.4339269,2025-08-06 11:30:00,2026-01-07 11:30:00+01:00,133.0,134.0,0.9925373134328358,LOW
article_489370.0,triq il-mosta,lija,2025-08-04 17:00:00,35.9046481,14.4443042,35.9046481,14.4443042,2025-08-04 17:00:00,2026-01-05 17:00:00+01:00,224.0,192.0,1.1666666666666667,LOW
article_489370.0,triq il-mosta,lija,2025-08-04 17:00:00,35.9046481,14.4443042,35.90084,14.44863,2025-08-04 17:00:00,2026-01-05 17:00:00+01:00,309.0,229.0,1.3493449781659388,MODERATE
article_489370.0,triq il-mosta,lija,2025-08-04 17:00:00,35.90084,14.44863,35.9046481,14.4443042,2025-08-04 17:00:00,2026-01-05 17:00:00+01:00,224.0,192.0,1.1666666666666667,LOW
article_489370.0,triq il-mosta,lija,2025-08-04 17:00:00,35.90084,14.44863,35.90084,14.44863,2025-08-04 17:00:00,2026-01-05 17:00:00+01:00,309.0,229.0,1.3493449781659388,MODERATE
article_467167.0,ta' liesse,valletta,2025-08-04 15:30:00,35.8953521,14.5135698,35.8953521,14.5135698,2025-08-04 15:30:00,2026-01-05 15:30:00+01:00,151.0,125.0,1.208,MODERATE
release_67,triq ix-xatt ta xbiex,ta xbiex,2025-08-04 07:45:00,35.9016199,14.4948208,35.9016199,14.4948208,2025-08-04 07:45:00,2026-01-05 07:45:00+01:00,410.0,441.0,0.9297052154195011,LOW
release_8,triq tal-barrani,zejtun,2025-08-03 08:15:00,35.85431,14.52877,35.85431,14.52877,2025-08-03 08:15:00,2026-01-04 08:15:00+01:00,155.0,154.0,1.0064935064935066,LOW
article_451726.0,floriana park and ride facility,floriana,2025-08-02 15:30:00,35.88811,14.50119,35.88811,14.50119,2025-08-02 15:30:00,2026-01-03 15:30:00+01:00,194.0,201.0,0.9651741293532339,LOW
article_386315.0,ta' liesse,valletta,2025-07-31 15:30:00,35.8953521,14.5135698,35.8953521,14.5135698,2025-07-31 15:30:00,2026-01-08 15:30:00+01:00,160.0,125.0,1.28,MODERATE
article_386182.0,marina street,pieta',2025-07-30 15:30:00,35.89866,14.49244,35.89866,14.49244,2025-07-30 15:30:00,2026-01-07 15:30:00+01:00,335.0,353.0,0.9490084985835694,LOW
release_4,triq dawret hal ghaxaq,ghaxaq,2025-07-29 18:00:00,35.848783,14.5251465,35.848783,14.5251465,2025-07-29 18:00:00,2026-01-06 18:00:00+01:00,197.0,154.0,1.2792207792207793,MODERATE
article_490183.0,ta' liesse,valletta,2025-07-27 22:00:00,35.8953521,14.5135698,35.8953521,14.5135698,2025-07-27 22:00:00,2026-01-04 22:00:00+01:00,135.0,125.0,1.08,LOW
release_85,hompesch street,fgura,2025-07-27 15:30:00,35.8723089,14.5218635,35.8723089,14.5218635,2025-07-27 15:30:00,2026-01-04 15:30:00+01:00,187.0,173.0,1.0809248554913296,LOW
