id,street,city,accident_datetime,street_latitude,street_longitude
release_102,triq is-sorijiet,tarxien,2025-02-09 01:30:00,35.8702636,14.5103851
release_100,triq ir-rabat,zebbug,2025-02-08 21:00:00,36.0672705,14.259524
article_3169.0,labour avenue,naxxar,2025-02-06 08:00:00,35.91438,14.44251
release_107,vjal l-istadium nazzjonali,attard,2025-02-05 09:00:00,35.8905211,14.4223
article_3197.0,triq alfredo cachia zammit,zejtun,2025-02-04 11:30:00,35.8565578,14.5306657
release_79,triq il-palma,paola,2025-02-03 19:00:00,35.8709648,14.5040803
release_470,rue d'argens st,gzira,2025-02-01 12:45:00,35.9066493,14.4936073
release_47,hal farrug rd,luqa,2025-02-01 05:00:00,35.85463,14.48697
release_54,coast road,naxxar,2025-01-25 14:30:00,35.9462438,14.4481762
article_3408.0,coast road,salini,2025-01-25 13:00:00,35.9462438,14.4481762
release_40,mikiel anton vassalli street,msida,2025-01-23 20:15:00,35.8981962,14.4867393
release_105,triq rodolfu,sliema,2025-01-22 18:00:00,35.9104721,14.4987943
article_102356.0,triq it-turisti,st paul's bay,2025-01-20 00:00:00,35.95031,14.40688
article_3551.0,triq il-fortizza tal-mosta,naxxar,2025-01-16 10:15:00,35.92741,14.45192
release_88,blue grotto avenue,zurrieq,2025-01-15 19:30:00,35.8298773,14.4695035
article_3586.0,triq guze' howard corner with triq ghar id-dud,sliema,2025-01-15 16:45:00,35.91672,14.50203
article_3601.0,anton cassar street,marsa,2025-01-15 07:45:00,35.8801056,14.4930563
release_800,triq tal-barrani,zejtun,2025-01-15 07:45:00,35.85431,14.52877
article_3671.0,triq gheriexem,rabat,2025-01-09 11:00:00,35.8847418,14.3972858
release_27,triq l-imdina,attard,2025-01-06 21:20:00,35.874767,14.4608589
article_3699.0,mdina road,attard,2025-01-06 21:00:00,35.874767,14.4608589
release_84,triq hompesh,fgura,2025-01-06 20:00:00,35.8723089,14.5218635
article_3766.0,birkirkara bypass,birkirkara,2025-01-05 07:00:00,35.9003979,14.4751653
release_10,st james square,zabbar,2024-12-28 09:15:00,35.87334,14.53592
release_56,triq il-hotba,zejtun,2024-12-27 12:00:00,35.85592,14.53341
article_3900.0,triq il-hotba,zejtun,2024-12-27 11:30:00,35.85592,14.53341
release_25,triq dicembru tlettax,marsa,2024-12-27 07:45:00,35.8786271,14.4913829
release_59,mikiel anton vassalli street,st julians,2024-12-25 15:30:00,35.8981962,14.4867393
article_3910.0,regional road,msida,2024-12-23 10:30:00,35.9034355,14.4867323
article_3704.0,triq sir philip pullicino,mtarfa,2024-12-22 10:15:00,35.8903766,14.3931157
release_68,salini street,naxxar,2024-12-22 09:30:00,35.9369975,14.4339269
article_3976.5,triq san gwann,sliema,2024-12-20 11:45:00,35.9107529,14.5000793
article_3976.0,triq in-naxxar,birkirkara,2024-12-20 11:30:00,35.8980141,14.4596416
article_3991.0,tul il-kosta,naxxar,2024-12-20 00:00:00,35.9462438,14.4481762
release_108,triq il-germanja,naxxar,2024-12-19 10:45:00,35.9089538,14.440024
release_63,triq il-kannizzata,balzan,2024-12-19 08:15:00,35.8963504,14.4561623
article_3989.0,triq dicembru tlettax,blata l-bajda,2024-12-19 00:00:00,35.8786271,14.4913829
article_4014.0,triq mons mikiel azzopardi,siggiewi,2024-12-17 14:15:00,35.83296,14.44018
article_4049.0,triq l-imgarr,xewkija,2024-12-15 20:30:00,36.02573,14.29241
release_22,dawret il-gudja,gudja,2024-12-13 19:45:00,35.8522112,14.4985812
release_91,triq il-marfa,mellieha,2024-12-13 17:30:00,35.9670439,14.3518793
article_4024.0,st pauls bay bypass,st pauls bay,2024-12-11 17:00:00,35.9469478,14.3994613
release_83,triq e. bradford,naxxar,2024-12-11 11:15:00,35.9210351,14.4383658
article_4208.0,regional road,st julian's,2024-12-04 17:00:00,35.9034355,14.4867323
article_495942.0,triq censu tabone,st pauls bay,2024-09-23 00:00:00,35.94988,14.40962
article_495320.0,naxxar road,birkirkara,2024-03-19 00:00:00,35.8980141,14.4596416
article_3558.0,regional road,st julian's,2023-10-22 22:00:00,35.9034355,14.4867323
article_167578.0,december 13 road,st paul's bay,2023-10-01 00:00:00,35.8786271,14.4913829
article_3861.0,triq il-madliena,swieqi,2022-09-24 00:00:00,35.92788,14.48096
article_490632.0,aldo moro road,marsa,2022-02-01 00:00:00,35.8772393,14.4948062
article_1352.0,triq ghar lapsi,siggiewi,2020-05-02 08:00:00,35.83321,14.43274
article_353524.0,triq wied bladun,paola,2018-03-13 00:00:00,35.87264,14.50788
article_2101.0,triq sir temi zammit,mgarr,2017-08-20 15:25:00,35.9240642,14.3752357
article_3834.0,triq il-mithna,qormi,2006-12-17 00:00:00,35.8830183,14.4734016
